"date","year","mo","casos","t_max","t_med","t_min","hr","precip","oni","enso_state"
2013-01-01,2013,1,NA,27.88,24.4870967741935,21.7087096774194,76.4641935483871,69.05,-0.29,"Neutral"
2013-02-01,2013,2,NA,29.4207142857143,25.6117857142857,22.3414285714286,69.6267857142857,9.29,-0.29,"Neutral"
2013-03-01,2013,3,NA,28.4916129032258,24.7941935483871,21.5587096774194,64.2861290322581,9.52,-0.21,"Neutral"
2013-04-01,2013,4,NA,32.2873333333333,28.4833333333333,25.0826666666667,65.2306666666667,19.14,-0.19,"Neutral"
2013-05-01,2013,5,NA,32.5945161290323,29.2925806451613,26.1851612903226,64.5645161290323,66.86,-0.27,"Neutral"
2013-06-01,2013,6,NA,30.044,27.95,26.0146666666667,81.9206666666667,192.18,-0.34,"Neutral"
2013-07-01,2013,7,NA,29.2029032258065,27.4703225806452,25.8351612903226,84.1093548387097,197.92,-0.35,"Neutral"
2013-08-01,2013,8,NA,29.7896774193548,27.8209677419355,25.9551612903226,82.5538709677419,173.29,-0.28,"Neutral"
2013-09-01,2013,9,NA,28.778,27.2803333333333,25.9083333333333,86.815,146.34,-0.21,"Neutral"
2013-10-01,2013,10,NA,29.1974193548387,27.2232258064516,25.4303225806452,83.2616129032258,134.38,-0.13,"Neutral"
2013-11-01,2013,11,NA,27.2816666666667,25.4206666666667,23.775,84.3253333333333,117.01,-0.1,"Neutral"
2013-12-01,2013,12,NA,26.8425806451613,24.4225806451613,22.3558064516129,85.5364516129032,88.99,-0.15,"Neutral"
2014-01-01,2014,1,NA,25.1451612903226,22.4270967741935,19.9577419354839,80.54,48.88,-0.28,"Neutral"
2014-02-01,2014,2,NA,28.9553571428571,25.2460714285714,21.9675,75.7885714285714,19.71,-0.32,"Neutral"
2014-03-01,2014,3,NA,31.0787096774194,27.2422580645161,23.8183870967742,66.8616129032258,6.68,-0.14,"Neutral"
2014-04-01,2014,4,NA,32.3333333333333,28.6416666666667,25.035,61.6746666666667,20.28,0.15,"Neutral"
2014-05-01,2014,5,NA,31.1754838709677,27.9545161290323,24.9829032258065,72.7316129032258,140.91,0.31,"Neutral"
2014-06-01,2014,6,NA,30.9203333333333,28.1986666666667,25.5203333333333,77.8723333333333,145.62,0.23,"Neutral"
2014-07-01,2014,7,NA,32.6822580645161,29.2435483870968,26.0406451612903,71.1477419354839,65.62,0.1,"Neutral"
2014-08-01,2014,8,NA,31.0590322580645,28.4625806451613,26.0687096774194,78.2183870967742,185.09,0.11,"Neutral"
2014-09-01,2014,9,NA,29.9006666666667,27.6613333333333,25.7103333333333,82.2093333333333,142.24,0.28,"Neutral"
2014-10-01,2014,10,NA,28.7745161290323,26.7406451612903,24.9035483870968,82.6222580645161,172.74,0.54,"Niño"
2014-11-01,2014,11,NA,26.9523333333333,24.0673333333333,21.4696666666667,76.6863333333333,29.92,0.71,"Niño"
2014-12-01,2014,12,NA,27.3438709677419,23.8106451612903,20.8054838709677,75.3348387096774,20.79,0.77,"Niño"
2015-01-01,2015,1,NA,27.0777419354839,23.7916129032258,21.068064516129,75.0925806451613,40.61,0.69,"Niño"
2015-02-01,2015,2,NA,27.6192857142857,23.8828571428571,20.6407142857143,70.4117857142857,15.87,0.61,"Niño"
2015-03-01,2015,3,NA,30.4587096774194,26.7541935483871,23.49,69.551935483871,55.57,0.65,"Niño"
2015-04-01,2015,4,NA,33.1886666666667,29.337,25.6916666666667,62.918,35.81,0.81,"Niño"
2015-05-01,2015,5,NA,33.2145161290323,29.5058064516129,26.0135483870968,62.9232258064516,34.59,1.02,"Niño"
2015-06-01,2015,6,NA,31.2283333333333,28.206,25.6016666666667,75.7023333333333,116.79,1.25,"Niño"
2015-07-01,2015,7,NA,32.6406451612903,29.1912903225806,25.8558064516129,71.0509677419355,42.05,1.57,"Niño"
2015-08-01,2015,8,NA,32.2203225806452,29.0151612903226,26.1738709677419,74.0832258064516,133.31,1.91,"Niño"
2015-09-01,2015,9,NA,30.7306666666667,28.214,26.009,79.217,144.72,2.21,"Niño"
2015-10-01,2015,10,NA,29.9461290322581,27.5996774193548,25.6735483870968,79.6090322580645,113.53,2.47,"Niño"
2015-11-01,2015,11,NA,29.4353333333333,26.8283333333333,24.7133333333333,81.539,109.38,2.64,"Niño"
2015-12-01,2015,12,NA,29.2206451612903,26.1209677419355,23.6661290322581,79.5429032258065,63.36,2.75,"Niño"
2016-01-01,2016,1,NA,26.7890322580645,23.758064516129,21.1638709677419,74.3654838709677,27.34,2.63,"Niño"
2016-02-01,2016,2,NA,27.0155172413793,23.4627586206897,20.4641379310345,68.9206896551724,19.4,2.28,"Niño"
2016-03-01,2016,3,NA,30.5825806451613,26.7903225806452,23.6896774193548,70.7829032258065,56.89,1.71,"Niño"
2016-04-01,2016,4,NA,32.7566666666667,28.8956666666667,25.4093333333333,63.3873333333333,12.85,1.05,"Niño"
2016-05-01,2016,5,NA,33.6174193548387,29.8587096774194,26.4261290322581,64.3687096774194,49.51,0.49,"Neutral"
2016-06-01,2016,6,NA,31.646,28.803,26.373,76.502,232.53,0,"Neutral"
2016-07-01,2016,7,NA,31.308064516129,28.671935483871,26.2451612903226,78.7067741935484,231.23,-0.31,"Neutral"
2016-08-01,2016,8,NA,30.3493548387097,28.2461290322581,26.4106451612903,83.4003225806452,147.5,-0.5,"Niña"
2016-09-01,2016,9,NA,30.0273333333333,28.1266666666667,26.3723333333333,82.536,193.71,-0.58,"Niña"
2016-10-01,2016,10,NA,29.8435483870968,27.4187096774194,25.2351612903226,77.6238709677419,63.91,-0.64,"Niña"
2016-11-01,2016,11,NA,29.3143333333333,26.071,23.3706666666667,73.7616666666667,41.85,-0.6,"Niña"
2016-12-01,2016,12,NA,29.9703225806452,26.471935483871,23.5329032258065,75.5596774193548,48.1,-0.45,"Neutral"
2017-01-01,2017,1,NA,28.6596774193548,24.9067741935484,21.4858064516129,68.9029032258065,23.38,-0.19,"Neutral"
2017-02-01,2017,2,NA,30.1932142857143,26.3182142857143,22.9675,65.3875,9.15,-0.02,"Neutral"
2017-03-01,2017,3,NA,30.7009677419355,26.8238709677419,23.3045161290323,60.9083870967742,11.07,0.18,"Neutral"
2017-04-01,2017,4,NA,31.659,27.9576666666667,24.725,69.072,48.04,0.31,"Neutral"
2017-05-01,2017,5,NA,33.2777419354839,29.7906451612903,26.5022580645161,64.9445161290323,31.37,0.4,"Neutral"
2017-06-01,2017,6,NA,29.9616666666667,28.045,26.4136666666667,84.072,381.26,0.39,"Neutral"
2017-07-01,2017,7,NA,29.7929032258065,27.9877419354839,26.35,84.4174193548387,195.64,0.19,"Neutral"
2017-08-01,2017,8,NA,29.8809677419355,28.1429032258064,26.3796774193548,84.5141935483871,233.12,-0.07,"Neutral"
2017-09-01,2017,9,NA,30.1273333333333,28.3713333333333,26.7966666666667,83.1866666666667,184.2,-0.34,"Neutral"
2017-10-01,2017,10,NA,28.6254838709677,26.8683870967742,25.1893548387097,81.6332258064516,164.3,-0.6,"Niña"
2017-11-01,2017,11,NA,27.544,24.9683333333333,22.6883333333333,76.7276666666667,28.08,-0.77,"Niña"
2017-12-01,2017,12,NA,27.7612903225806,24.3848387096774,21.5229032258065,75.5958064516129,35.53,-0.86,"Niña"
2018-01-01,2018,1,NA,25.4403225806452,22.4048387096774,19.9364516129032,74.7512903225806,108.1,-0.77,"Niña"
2018-02-01,2018,2,NA,29.7014285714286,25.72,22.1364285714286,72.6732142857143,12.18,-0.71,"Niña"
2018-03-01,2018,3,NA,31.3035483870968,27.121935483871,23.4212903225806,63.0454838709677,9.25,-0.57,"Niña"
2018-04-01,2018,4,NA,31.3616666666667,27.6496666666667,24.3233333333333,69.255,105,-0.39,"Neutral"
2018-05-01,2018,5,NA,31.7251612903226,28.3625806451613,25.4448387096774,72.3038709677419,74.87,-0.13,"Neutral"
2018-06-01,2018,6,NA,31.1733333333333,28.359,25.8326666666667,77.6366666666667,146.03,0.06,"Neutral"
2018-07-01,2018,7,NA,32.3806451612903,29.0474193548387,26.0670967741935,73.5338709677419,84.24,0.14,"Neutral"
2018-08-01,2018,8,NA,31.4803225806452,28.5351612903226,25.9490322580645,77.2958064516129,156.39,0.27,"Neutral"
2018-09-01,2018,9,NA,29.8986666666667,27.8856666666667,26.04,82.917,176.74,0.53,"Niño"
2018-10-01,2018,10,NA,29.6167741935484,27.4522580645161,25.5254838709677,81.8590322580645,141.6,0.81,"Niño"
2018-11-01,2018,11,NA,28.279,25.631,23.1773333333333,80.3193333333333,104.11,0.97,"Niño"
2018-12-01,2018,12,NA,27.431935483871,24.28,21.4493548387097,75.2729032258064,22.75,0.92,"Niño"
2019-01-01,2019,1,NA,27.1090322580645,23.5103225806452,20.5648387096774,73.1067741935484,39.14,0.89,"Niño"
2019-02-01,2019,2,NA,30.3539285714286,26.3285714285714,22.7928571428571,69.6921428571429,29.23,0.86,"Niño"
2019-03-01,2019,3,NA,30.9861290322581,26.9725806451613,23.3574193548387,64.8154838709677,17.69,0.84,"Niño"
2019-04-01,2019,4,NA,32.177,28.1353333333333,24.3376666666667,65.178,35.57,0.77,"Niño"
2019-05-01,2019,5,NA,34.2754838709677,30.4822580645161,26.9032258064516,65.1345161290323,76.29,0.64,"Niño"
2019-06-01,2019,6,NA,31.7736666666667,29.0893333333333,26.5796666666667,77.8476666666667,322.1,0.52,"Niño"
2019-07-01,2019,7,NA,31.8483870967742,28.9054838709677,26.1554838709677,75.8941935483871,110.44,0.33,"Neutral"
